x0,x1,x2,x3,x4,x5,x6,x7,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0.25,0.4,0.125,0.0,0.0,0.0,0.0,0.0,1.1789459,-0.34221408,-3.213004,0.92287683,-0.019000117,0.5312253,0.18712893,0.34212193,0.0,0.0,0.0,0.0,0.0,1.1789459,-0.34221408,-3.213004,0.92287683,-0.019000117,0.25,0.4,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,-0.728258,-0.055956967,1.4307281,-0.051916327,0.22756815,1.886286,0.47160208,0.5867339,0.0,0.0,0.0,0.0,0.0,-0.728258,-0.055956967,1.4307281,-0.051916327,0.22756815,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,1.4592516,-0.48782146,0.8307043,0.31052145,-2.1170845,1.1509581,0.29963386,0.54061335,0.0,0.0,0.0,0.0,0.0,1.4592516,-0.48782146,0.8307043,0.31052145,-2.1170845,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.2,0.125,1.0,0.0,0.0,0.0,0.0,0.78323156,0.16186462,-0.59167904,-0.25538832,-1.135282,1.4738326,0.37141123,0.5191878,0.0,0.0,1.0,0.0,0.0,0.78323156,0.16186462,-0.59167904,-0.25538832,-1.135282,0.25,0.2,0.125,1.0,0.0,0.0,0.0,0.0
1.0,0.4,0.25,1.0,0.0,0.0,0.0,0.0,-0.4069471,-0.29731375,-0.97230893,0.15279113,0.038592715,2.0338414,0.5084595,0.4174762,0.0,0.0,1.0,0.0,0.0,-0.4069471,-0.29731375,-0.97230893,0.15279113,0.038592715,1.0,0.4,0.25,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,0.9398732,0.6062581,0.7952305,-1.2521231,-0.47073323,1.4210038,0.3591636,0.48453563,0.0,0.0,1.0,0.0,0.0,0.9398732,0.6062581,0.7952305,-1.2521231,-0.47073323,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.8,0.125,0.0,0.0,0.0,0.0,0.0,0.66989636,-2.709516,-1.9353575,-0.44227412,-0.45312834,-1.0670583,0.0444867,0.11867582,0.0,0.0,0.0,0.0,0.0,0.66989636,-2.709516,-1.9353575,-0.44227412,-0.45312834,0.25,0.8,0.125,0.0,0.0,0.0,0.0,0.0
0.5,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-1.6111151,0.4412053,-1.2980431,1.9037788,-0.034461193,0.5219102,0.18571612,0.38933945,0.0,0.0,0.0,0.0,0.0,-1.6111151,0.4412053,-1.2980431,1.9037788,-0.034461193,0.5,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,-0.050546292,-0.20702107,-0.24418005,0.97200906,-0.31291485,2.7796373,0.68560195,0.698897,0.0,0.0,1.0,0.0,0.0,-0.050546292,-0.20702107,-0.24418005,0.97200906,-0.31291485,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.8,0.25,0.0,0.0,0.0,0.0,0.0,-0.99819225,-1.4587119,0.056337588,0.7652311,-0.67210233,-0.10243318,0.10886055,0.21232608,0.0,0.0,0.0,0.0,0.0,-0.99819225,-1.4587119,0.056337588,0.7652311,-0.67210233,0.25,0.8,0.25,0.0,0.0,0.0,0.0,0.0
