x0,x1,x2,x3,x4,x5,x6,x7,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0.25,0.8,0.125,1.0,0.0,0.0,0.0,0.0,0.006811575,0.30126435,0.5810446,0.592841,-1.7536525,3.083186,0.7470964,0.7116484,0.0,0.0,1.0,0.0,0.0,0.006811575,0.30126435,0.5810446,0.592841,-1.7536525,0.25,0.8,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,-0.5337461,-0.15397887,1.201637,0.15459317,-1.5888976,2.053974,0.5134902,0.60406065,0.0,0.0,1.0,0.0,0.0,-0.5337461,-0.15397887,1.201637,0.15459317,-1.5888976,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.5,0.6,0.125,1.0,0.0,0.0,0.0,0.0,-1.0509173,0.29855147,2.5026052,0.64317065,0.016505994,2.8346686,0.69734114,0.8615189,0.0,0.0,1.0,0.0,0.0,-1.0509173,0.29855147,2.5026052,0.64317065,0.016505994,0.5,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-1.2196404,-0.34818777,-1.1826653,0.16452734,0.32112092,0.3133441,0.15621613,0.16986549,0.0,0.0,0.0,0.0,0.0,-1.2196404,-0.34818777,-1.1826653,0.16452734,0.32112092,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
1.0,0.6,0.25,1.0,0.0,0.0,0.0,0.0,0.16249035,1.2582057,0.70943326,0.46287975,0.411212,4.407652,0.91740894,0.83186036,0.0,0.0,1.0,0.0,0.0,0.16249035,1.2582057,0.70943326,0.46287975,0.411212,1.0,0.6,0.25,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,-0.013692566,2.4823716,1.2949872,-0.6800943,1.6618319,2.9427788,0.71966064,0.8836246,0.0,0.0,0.0,0.0,0.0,-0.013692566,2.4823716,1.2949872,-0.6800943,1.6618319,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.4,0.125,1.0,0.0,0.0,0.0,0.0,0.57045597,-0.25218028,-0.67502743,-0.38172784,0.27720773,1.3506356,0.3431328,0.36393252,0.0,1.0,1.0,1.0,0.0,0.57045597,-0.25218028,-0.67502743,-0.38172784,0.27720773,0.25,0.4,0.125,1.0,0.0,0.0,0.0,0.0
0.25,1.0,0.125,1.0,0.0,1.0,0.0,0.0,-0.48818406,0.03908119,-0.7247707,-1.9865342,-0.69312054,1.2149045,0.31322274,0.45768943,1.0,1.0,0.0,1.0,1.0,-0.48818406,0.03908119,-0.7247707,-1.9865342,-0.69312054,0.25,1.0,0.125,1.0,0.0,1.0,0.0,0.0
0.5,0.4,0.125,0.0,0.0,0.0,0.0,0.0,-1.2419553,1.0031153,-0.6795265,-0.44816002,-0.74863166,0.7203277,0.21760601,0.26333633,0.0,0.0,0.0,0.0,0.0,-1.2419553,1.0031153,-0.6795265,-0.44816002,-0.74863166,0.5,0.4,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.4,0.375,1.0,0.0,0.0,0.0,0.0,-1.5175802,0.147256,1.6507133,1.4793053,0.6516395,3.8028302,0.8584931,0.82704324,1.0,1.0,1.0,1.0,1.0,-1.5175802,0.147256,1.6507133,1.4793053,0.6516395,0.25,0.4,0.375,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,2.0075843,0.18698375,-0.23805512,-1.7609719,-0.6653784,0.79835755,0.23118317,0.43615058,0.0,0.0,0.0,0.0,0.0,2.0075843,0.18698375,-0.23805512,-1.7609719,-0.6653784,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.2,0.125,0.0,0.0,0.0,0.0,0.0,-1.6057698,-1.1094593,0.58453214,0.4128028,0.94094193,0.024732206,0.1218242,0.31364182,0.0,0.0,0.0,0.0,0.0,-1.6057698,-1.1094593,0.58453214,0.4128028,0.94094193,0.25,0.2,0.125,0.0,0.0,0.0,0.0,0.0
