u0,u1,u2,x0,x1,x2,x3,x4,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,1.5629321,-0.16317518,1.2004993,2.846089,-0.89360183,1.4178903,0.3584473,0.67804575,0.0,0.0,0.0,0.0,0.0,1.5629321,-0.16317518,1.2004993,2.846089,-0.89360183,0.25,0.6,0.125,0.0,0.0
0.0,1.0,0.0,0.25,0.8,0.125,0.0,0.0,1.3475101,0.801197,-0.77180606,1.5455718,1.1671342,3.0563593,0.7419942,0.43230823,0.0,0.0,1.0,0.0,0.0,1.3475101,0.801197,-0.77180606,1.5455718,1.1671342,0.25,0.8,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,2.6237788,-0.7377811,0.21127054,-0.76080674,2.0595436,1.4538782,0.36676463,0.4985318,0.0,0.0,1.0,0.0,0.0,2.6237788,-0.7377811,0.21127054,-0.76080674,2.0595436,0.25,0.6,0.125,1.0,0.0
1.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,1.2011681,1.384337,-0.2815035,2.4134932,0.10111973,6.9610667,0.9930433,0.9036992,1.0,1.0,1.0,1.0,1.0,1.2011681,1.384337,-0.2815035,2.4134932,0.10111973,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,1.5348519,0.04702956,-2.8437421,-1.1298581,0.7309188,0.90160483,0.2500407,0.53510815,0.0,0.0,0.0,0.0,0.0,1.5348519,0.04702956,-2.8437421,-1.1298581,0.7309188,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.5,0.6,0.125,0.0,0.0,-0.009503665,1.79353,1.5413162,0.38845947,0.19214578,2.4890306,0.61987805,0.74022925,0.0,0.0,0.0,0.0,0.0,-0.009503665,1.79353,1.5413162,0.38845947,0.19214578,0.5,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,0.78092694,-0.052860495,1.545541,-2.0302494,-0.7581669,0.4908867,0.18107024,0.15065205,0.0,0.0,0.0,0.0,0.0,0.78092694,-0.052860495,1.545541,-2.0302494,-0.7581669,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,1.1922984,-0.21183121,-0.15646532,0.81823176,-0.020059051,1.1264178,0.29450944,0.5190777,0.0,0.0,0.0,0.0,0.0,1.1922984,-0.21183121,-0.15646532,0.81823176,-0.020059051,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.25,0.0,0.0,-1.3122089,0.24210449,-0.39538166,0.35186118,0.6394068,0.81836504,0.23475835,0.32678464,0.0,0.0,1.0,0.0,0.0,-1.3122089,0.24210449,-0.39538166,0.35186118,0.6394068,0.25,0.6,0.25,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.25,0.0,0.0,1.7677896,0.23171674,-0.5604696,-0.41786543,-0.14453359,1.54086,0.38718987,0.49997565,1.0,1.0,1.0,1.0,1.0,1.7677896,0.23171674,-0.5604696,-0.41786543,-0.14453359,0.25,0.6,0.25,0.0,0.0
