u0,u1,u2,x0,x1,x2,x3,x4,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,-0.78261155,-1.0961479,0.17489977,0.2908836,0.33890653,1.4344044,0.36225373,0.54164004,1.0,1.0,0.0,1.0,1.0,-0.78261155,-1.0961479,0.17489977,0.2908836,0.33890653,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.5,0.6,0.125,1.0,0.0,2.8612075,-1.1252327,-0.061448935,-0.94174945,1.0325798,2.0310335,0.5077578,0.38498184,0.0,0.0,1.0,0.0,0.0,2.8612075,-1.1252327,-0.061448935,-0.94174945,1.0325798,0.5,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,0.76567364,-0.51559603,-1.6490195,-1.0570594,0.8711606,0.59387404,0.19684581,0.2526266,0.0,0.0,1.0,0.0,0.0,0.76567364,-0.51559603,-1.6490195,-1.0570594,0.8711606,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.4,0.125,0.0,0.0,-0.56843126,-1.5453647,0.46608174,-0.5613502,-0.15125133,0.07300649,0.12708373,0.12073497,0.0,0.0,0.0,0.0,0.0,-0.56843126,-1.5453647,0.46608174,-0.5613502,-0.15125133,0.25,0.4,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,1.7953092,-0.04006739,-0.25540382,-0.24733502,-0.67380196,2.3125129,0.5774985,0.4920425,0.0,0.0,0.0,0.0,0.0,1.7953092,-0.04006739,-0.25540382,-0.24733502,-0.67380196,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,1.0,0.125,1.0,0.0,-0.0052984064,0.39666942,0.16100658,2.4209177,1.4190586,5.2113886,0.9612606,0.93896616,0.0,0.0,1.0,0.0,0.0,-0.0052984064,0.39666942,0.16100658,2.4209177,1.4190586,0.25,1.0,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.8,1.0,0.0,0.0,-1.5438784,0.2652575,0.71466655,1.4327759,0.36696753,2.5909028,0.6435723,0.5261275,0.0,1.0,1.0,1.0,0.0,-1.5438784,0.2652575,0.71466655,1.4327759,0.36696753,0.25,0.8,1.0,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,1.0464835,-1.059053,0.503433,-1.3741274,0.8511882,0.6641183,0.20818812,0.24447082,0.0,0.0,0.0,0.0,0.0,1.0464835,-1.059053,0.503433,-1.3741274,0.8511882,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,-0.18606326,-0.41087848,-0.15513146,0.770826,-0.2943018,2.4333916,0.60668325,0.63701093,0.0,0.0,0.0,0.0,0.0,-0.18606326,-0.41087848,-0.15513146,0.770826,-0.2943018,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,0.35016873,-1.4950397,-0.5606337,-0.03396393,-0.83671117,1.0614753,0.28119844,0.25012755,1.0,1.0,0.0,1.0,1.0,0.35016873,-1.4950397,-0.5606337,-0.03396393,-0.83671117,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,1.0,0.125,0.0,0.0,-0.98756826,-0.26113474,-0.18200165,0.22792345,-1.5720832,0.84422296,0.23943546,0.26540095,0.0,0.0,0.0,0.0,0.0,-0.98756826,-0.26113474,-0.18200165,0.22792345,-1.5720832,0.25,1.0,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,-0.14050655,-2.0940363,0.41711298,-1.843669,0.04843102,-1.1080784,0.04277526,0.04689566,0.0,0.0,0.0,0.0,0.0,-0.14050655,-2.0940363,0.41711298,-1.843669,0.04843102,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,0.07526429,0.47135627,-1.1735457,-0.3037523,0.51525456,1.1299366,0.29524112,0.37532696,0.0,0.0,0.0,0.0,0.0,0.07526429,0.47135627,-1.1735457,-0.3037523,0.51525456,0.25,0.6,0.125,0.0,0.0
1.0,0.0,0.0,0.5,0.6,0.125,1.0,0.0,-0.3387591,-0.2817562,-0.035921905,-0.81583107,1.4041454,2.0662453,0.5165553,0.38192382,0.0,1.0,1.0,1.0,0.0,-0.3387591,-0.2817562,-0.035921905,-0.81583107,1.4041454,0.5,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,-1.1700687,0.11667611,-0.18607037,-1.2475731,-0.53157175,0.7292297,0.21912542,0.29722482,0.0,1.0,1.0,1.0,0.0,-1.1700687,0.11667611,-0.18607037,-1.2475731,-0.53157175,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.5,0.2,0.125,1.0,0.0,-0.27437744,-1.8207775,0.37295708,1.0668454,-0.65221566,2.437121,0.6075728,0.35033002,0.0,0.0,1.0,0.0,0.0,-0.27437744,-1.8207775,0.37295708,1.0668454,-0.65221566,0.5,0.2,0.125,1.0,0.0
0.0,0.0,0.0,0.5,1.0,0.125,0.0,0.0,-1.2423685,0.44341072,-1.8149968,-0.9649414,-0.2569335,1.2203519,0.31439573,0.33706737,0.0,0.0,0.0,0.0,0.0,-1.2423685,0.44341072,-1.8149968,-0.9649414,-0.2569335,0.5,1.0,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,-0.6247648,2.2505226,-0.14026833,0.21748021,1.3350161,2.151589,0.5378248,0.72168314,0.0,0.0,1.0,0.0,0.0,-0.6247648,2.2505226,-0.14026833,0.21748021,1.3350161,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.4,0.25,0.0,0.0,-0.9401036,-1.9211882,1.3493979,-0.16327296,-0.23748977,0.23384827,0.14602154,0.13404998,0.0,0.0,1.0,0.0,0.0,-0.9401036,-1.9211882,1.3493979,-0.16327296,-0.23748977,0.25,0.4,0.25,0.0,0.0
0.0,0.0,0.0,0.5,1.0,0.125,1.0,0.0,-0.18860433,-0.4304981,1.548769,-1.7084426,0.49980143,0.5853533,0.19550219,0.23021436,1.0,1.0,0.0,1.0,1.0,-0.18860433,-0.4304981,1.548769,-1.7084426,0.49980143,0.5,1.0,0.125,1.0,0.0
0.0,0.0,0.0,0.5,0.6,0.125,1.0,0.0,1.266026,0.73312885,1.8988442,-1.0306556,0.23282324,2.5045903,0.6235374,0.6787683,0.0,0.0,1.0,0.0,0.0,1.266026,0.73312885,1.8988442,-1.0306556,0.23282324,0.5,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,0.24656285,2.052282,0.3847497,-1.0323019,0.6031378,2.2838018,0.570478,0.79058456,0.0,1.0,0.0,0.0,1.0,0.24656285,2.052282,0.3847497,-1.0323019,0.6031378,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,1.0,0.125,1.0,0.0,-0.0012274174,-0.4980493,-1.2348872,1.0445024,-0.09876938,2.7667854,0.6828251,0.6553857,0.0,0.0,1.0,0.0,0.0,-0.0012274174,-0.4980493,-1.2348872,1.0445024,-0.09876938,0.25,1.0,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.4,0.125,1.0,0.0,-2.4991524,-1.2697966,1.1262634,-0.07560654,-0.2554917,0.70746964,0.21542484,0.5108527,0.0,0.0,0.0,0.0,0.0,-2.4991524,-1.2697966,1.1262634,-0.07560654,-0.2554917,0.25,0.4,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.4,0.125,1.0,0.0,-0.5878315,0.562617,0.88149506,0.4518261,-0.5045496,2.415102,0.6023106,0.72267604,0.0,0.0,1.0,0.0,0.0,-0.5878315,0.562617,0.88149506,0.4518261,-0.5045496,0.25,0.4,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,1.906672,0.828031,0.47550622,-0.93490946,-0.15548855,2.4386215,0.60793054,0.55069715,0.0,0.0,0.0,0.0,0.0,1.906672,0.828031,0.47550622,-0.93490946,-0.15548855,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,0.4442942,1.476909,1.7901835,0.5625099,0.25422955,4.253884,0.904985,0.9112351,0.0,0.0,1.0,0.0,0.0,0.4442942,1.476909,1.7901835,0.5625099,0.25422955,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,-0.887387,-0.63348377,-0.8785718,0.85974824,1.2694356,0.26324153,0.14972514,0.3167886,0.0,0.0,0.0,0.0,0.0,-0.887387,-0.63348377,-0.8785718,0.85974824,1.2694356,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,0.7173828,0.3852857,-0.6699193,0.64311266,0.79035604,2.9448898,0.72008634,0.77753824,0.0,0.0,0.0,0.0,0.0,0.7173828,0.3852857,-0.6699193,0.64311266,0.79035604,0.25,0.6,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,0.52909607,0.096894175,-1.4826646,-1.3183221,-1.0592743,0.8811342,0.24622174,0.33733076,0.0,0.0,0.0,0.0,0.0,0.52909607,0.096894175,-1.4826646,-1.3183221,-1.0592743,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.2,0.125,0.0,0.0,1.0520765,-1.3875272,-2.824598,0.6864646,0.06710091,0.20743889,0.14275901,0.36983323,0.0,0.0,0.0,0.0,0.0,1.0520765,-1.3875272,-2.824598,0.6864646,0.06710091,0.25,0.2,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,-0.7791917,0.58262813,-0.20701352,0.9286077,0.05067442,1.1039022,0.28985307,0.3956873,0.0,0.0,0.0,0.0,0.0,-0.7791917,0.58262813,-0.20701352,0.9286077,0.05067442,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,1.0,0.125,0.0,0.0,0.40264738,0.34332564,0.5055577,-2.394053,-1.1550187,1.8821822,0.47057956,0.2239796,1.0,1.0,1.0,1.0,1.0,0.40264738,0.34332564,0.5055577,-2.394053,-1.1550187,0.25,1.0,0.125,0.0,0.0
0.0,0.0,0.0,0.75,0.2,0.125,1.0,0.0,1.4648709,1.8150088,1.4510748,0.51866394,0.31045026,4.2367034,0.9034974,0.9305589,1.0,0.0,1.0,0.0,1.0,1.4648709,1.8150088,1.4510748,0.51866394,0.31045026,0.75,0.2,0.125,1.0,0.0
