x0,x1,x2,x3,x4,x5,x6,x7,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,0.13375075,1.7658751,-0.15352412,0.2610735,-0.37825963,2.048772,0.51219064,0.58272815,0.0,0.0,1.0,0.0,0.0,0.13375075,1.7658751,-0.15352412,0.2610735,-0.37825963,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.8,0.375,0.0,0.0,0.0,0.0,0.0,1.7245691,-0.03741716,1.9132274,-0.11193769,-0.8916916,2.543669,0.63266546,0.5877597,0.0,0.0,0.0,0.0,0.0,1.7245691,-0.03741716,1.9132274,-0.11193769,-0.8916916,0.25,0.8,0.375,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-0.10202996,-1.255563,0.9368885,-0.5654578,-0.4014794,0.3132658,0.1562058,0.17240183,0.0,0.0,0.0,0.0,0.0,-0.10202996,-1.255563,0.9368885,-0.5654578,-0.4014794,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.5,0.2,0.125,0.0,0.0,0.0,0.0,0.0,2.0442848,1.167124,-1.8136262,1.2641718,0.4838148,1.853864,0.46353087,0.6526179,1.0,0.0,1.0,0.0,1.0,2.0442848,1.167124,-1.8136262,1.2641718,0.4838148,0.5,0.2,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.8,0.125,1.0,0.0,1.0,0.0,0.0,0.27073234,-0.84841305,-1.5222167,-0.675936,-0.8060805,1.6977396,0.425005,0.62143236,1.0,1.0,1.0,1.0,1.0,0.27073234,-0.84841305,-1.5222167,-0.675936,-0.8060805,0.25,0.8,0.125,1.0,0.0,1.0,0.0,0.0
0.25,0.8,0.25,1.0,0.0,0.0,0.0,0.0,1.153279,-0.6188468,-0.72934055,-1.1759822,1.1458579,0.7349249,0.22010148,0.54807395,1.0,1.0,0.0,1.0,1.0,1.153279,-0.6188468,-0.72934055,-1.1759822,1.1458579,0.25,0.8,0.25,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-0.887387,-0.63348377,-0.8785718,0.85974824,1.2694356,0.26324153,0.14972514,0.246685,0.0,0.0,0.0,0.0,0.0,-0.887387,-0.63348377,-0.8785718,0.85974824,1.2694356,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-0.07336763,1.6046531,0.38750115,-1.1246883,-0.75236946,1.9678876,0.4919726,0.54727966,0.0,0.0,0.0,0.0,0.0,-0.07336763,1.6046531,0.38750115,-1.1246883,-0.75236946,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.8,0.125,1.0,0.0,0.0,0.0,0.0,2.116476,-0.04331026,-0.8650328,0.22101931,-0.3267027,2.782361,0.68618876,0.7505707,0.0,0.0,0.0,0.0,0.0,2.116476,-0.04331026,-0.8650328,0.22101931,-0.3267027,0.25,0.8,0.125,1.0,0.0,0.0,0.0,0.0
0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0,0.25230846,0.21808322,1.4283444,0.5629442,-0.44873735,3.3976476,0.8018103,0.746023,1.0,1.0,1.0,1.0,1.0,0.25230846,0.21808322,1.4283444,0.5629442,-0.44873735,0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0
